"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"CO","Colombia","2024","TOTAL","49588357","100","24206371","100","25381986","100","0.9536830963503014"
"CO","Colombia","2024","0","732480","1.4771209298182635","374674","1.5478321802140438","357806","1.4096848055940145","1.0471428651280303"
"CO","Colombia","2024","1","733930","1.4800450033059172","375365","1.550686800594769","358565","1.4126751153357346","1.0468534296431609"
"CO","Colombia","2024","2","735206","1.4826181879750524","375995","1.553289421202377","359211","1.415220227447923","1.0467246270297959"
"CO","Colombia","2024","3","736106","1.4844331301398028","376425","1.5550658130456647","359681","1.4170719344026113","1.0465523616760408"
"CO","Colombia","2024","4","734513","1.4812206825081944","375600","1.551657619392845","358913","1.41404616644261","1.0464931612953556"
"CO","Colombia","2024","5","734894","1.4819890080246054","375782","1.552409487568376","359112","1.4148301870468292","1.0464200583661922"
"CO","Colombia","2024","6","744538","1.5014371216211095","380684","1.5726603545818576","363854","1.4335127282790243","1.0462548164923293"
"CO","Colombia","2024","7","739910","1.4921042856894815","378282","1.5627373471223756","361628","1.4247427289574583","1.0460528498899422"
"CO","Colombia","2024","8","738170","1.4885953975042971","377366","1.55895321938179","360804","1.4214963320837068","1.0459030387689716"
"CO","Colombia","2024","9","735708","1.483630522382502","376077","1.5536281749957481","359631","1.4168749443010487","1.0457302067952985"
"CO","Colombia","2024","10","731549","1.4752434729789494","373969","1.5449197238198158","357580","1.408794410334952","1.0458331002852508"
"CO","Colombia","2024","11","730040","1.4722004199493846","373259","1.5419866117064802","356781","1.4056465085119816","1.0461851948394112"
"CO","Colombia","2024","12","734027","1.480240613739229","375317","1.5504885056913322","358710","1.413246386630266","1.0462964511722561"
"CO","Colombia","2024","13","737263","1.4867663391227097","376967","1.5573048929969717","360296","1.4194949126518313","1.0462702888735929"
"CO","Colombia","2024","14","739808","1.4918985922441432","378233","1.562534921075117","361575","1.424533919449802","1.0460706630712853"
"CO","Colombia","2024","15","737544","1.487333004398593","377099","1.557850203981423","360445","1.4200819431544875","1.0462039978360083"
"CO","Colombia","2024","16","744909","1.502185281113468","380815","1.5732015344224872","364094","1.4344582807665247","1.0459249534460882"
"CO","Colombia","2024","17","745683","1.5037461313751532","381157","1.5746143856094745","364526","1.4361602752440255","1.0456236317848384"
"CO","Colombia","2024","18","753763","1.5200402788098022","385142","1.5910769937385494","368621","1.4522937645620009","1.044818390704816"
"CO","Colombia","2024","19","759202","1.5310085792921109","387576","1.601132197800323","371626","1.464132869665912","1.0429194943303213"
"CO","Colombia","2024","20","762858","1.5383812776858083","388826","1.6062961275773224","374032","1.4736120333531033","1.0395527655387775"
"CO","Colombia","2024","21","762380","1.5374173417360855","387884","1.6024045900973753","374496","1.475440101495604","1.0357493805007263"
"CO","Colombia","2024","22","763746","1.5401720206216956","387874","1.6023632786591597","375872","1.4808612690906062","1.0319310829218458"
"CO","Colombia","2024","23","767978","1.5487062820008333","389269","1.6081262242902912","378709","1.492038487453267","1.0278842066071838"
"CO","Colombia","2024","24","774293","1.561441126190166","391689","1.6181235923385624","382604","1.507384016364992","1.0237451777817272"
"CO","Colombia","2024","25","779979","1.5729075274665785","393689","1.6263858799817617","386290","1.5219061266521856","1.0191540034688964"
"CO","Colombia","2024","26","786836","1.586735370159572","396174","1.636651772378437","390662","1.5391309411328176","1.0141093835591892"
"CO","Colombia","2024","27","795891","1.604995704939367","399866","1.6519039553677832","396025","1.56026009942642","1.0096988826462976"
"CO","Colombia","2024","28","802973","1.619277283173548","402529","1.6629051913647033","400444","1.577670084602521","1.0052067205402004"
"CO","Colombia","2024","29","809338","1.6321129574831446","404522","1.6711385610011513","404816","1.5948948990831529","0.9992737441207857"
"CO","Colombia","2024","30","809939","1.633324935528717","403419","1.6665819093659269","406520","1.6016083217444057","0.9923718390239102"
"CO","Colombia","2024","31","807583","1.6285738202618811","402981","1.6647724683720662","404602","1.5940517814484652","0.9959935937044305"
"CO","Colombia","2024","32","799630","1.6125357813327028","399432","1.6501110389492086","400198","1.576700893302833","0.9980859474560093"
"CO","Colombia","2024","33","788905","1.5909077205360926","393684","1.6263652242626536","395221","1.5570924985932937","0.9961110366098967"
"CO","Colombia","2024","34","769935","1.552652772907963","383258","1.5832939187786554","386677","1.52343083003828","0.9911579949156532"
"CO","Colombia","2024","35","750539","1.5135387526551847","372180","1.537529107522974","378359","1.490659556742329","0.9836689493311908"
"CO","Colombia","2024","36","733720","1.4796215168008087","362301","1.4967175377093906","371419","1.4633173306454428","0.9754509058502662"
"CO","Colombia","2024","37","717275","1.4464584902460067","352795","1.457446884541264","364480","1.4359790443505878","0.9679406277436348"
"CO","Colombia","2024","38","699729","1.4110751844429934","342799","1.4161519709005534","356930","1.406233539014638","0.960409604124058"
"CO","Colombia","2024","39","683047","1.3774342231181405","333558","1.3779760708451505","349489","1.3769174721000947","0.9544163049480814"
"CO","Colombia","2024","40","667535","1.3461526866074631","325147","1.3432290201616757","342388","1.3489409378761772","0.949644847366146"
"CO","Colombia","2024","41","650617","1.3120358071149645","316166","1.3061272174998888","334451","1.3176707291541332","0.9453283141626128"
"CO","Colombia","2024","42","636318","1.2832004093218898","308574","1.2747635736063039","327744","1.2912464769305287","0.9415092267135325"
"CO","Colombia","2024","43","622841","1.256022658705954","301210","1.2443418305040437","321631","1.2671624671134873","0.936507985859572"
"CO","Colombia","2024","44","613265","1.2367116740730089","295575","1.2210628350693296","317690","1.2516357073083249","0.9303881141993767"
"CO","Colombia","2024","45","603662","1.217346241175121","289755","1.1970195780276192","313907","1.2367314362241","0.9230600145903086"
"CO","Colombia","2024","46","592993","1.1958311101132066","283409","1.1708033393357475","309584","1.2196996720429993","0.9154510569021654"
"CO","Colombia","2024","47","584988","1.1796882078589537","278519","1.150602046048125","306469","1.2074271887156505","0.9087999112471408"
"CO","Colombia","2024","48","577357","1.1642995149042747","273850","1.1313137355450762","303507","1.1957574950990832","0.9022856144998304"
"CO","Colombia","2024","49","570570","1.1506128343796507","269707","1.1141984066921886","300863","1.185340658528454","0.8964445611457706"
"CO","Colombia","2024","50","563374","1.1361013634712682","265355","1.0962196687805867","298019","1.1741358615515745","0.8903962499035296"
"CO","Colombia","2024","51","555554","1.1203315326619916","260512","1.0762125392525794","295042","1.1624070709045384","0.8829658150365033"
"CO","Colombia","2024","52","550709","1.110561094008418","257171","1.0624103877446147","293538","1.156481608649536","0.8761080337128413"
"CO","Colombia","2024","53","544665","1.0983727490709159","253562","1.0475010896924617","291103","1.1468881907034383","0.871038773217727"
"CO","Colombia","2024","54","538645","1.0862328025911405","250176","1.033513036712525","288469","1.1365107521531215","0.8672543670203731"
"CO","Colombia","2024","55","531498","1.0718201452006164","246525","1.0184302306198645","284973","1.1227372042518657","0.8650819551325916"
"CO","Colombia","2024","56","522290","1.0532512702528136","241875","0.9992204118494259","280415","1.1047795865934211","0.8625608473155858"
"CO","Colombia","2024","57","516668","1.0419139315303387","238724","0.9862031776675653","277944","1.0950443357741984","0.8588924387646433"
"CO","Colombia","2024","58","510303","1.0290782572207424","235289","0.9720126986403702","275014","1.083500715822631","0.8555528082206724"
"CO","Colombia","2024","59","507203","1.0228267897643795","233053","0.9627754610552733","274150","1.0800967268676296","0.8500930147729345"
"CO","Colombia","2024","60","503325","1.0150064056367103","230474","0.9521212411393679","272851","1.074978924029034","0.8446881264866173"
"CO","Colombia","2024","61","494670","0.9975527118190265","226079","0.9339648640434371","268591","1.058195367375902","0.8417221723736089"
"CO","Colombia","2024","62","486118","0.9803067280490861","221810","0.9163290110690281","264308","1.0413211952760513","0.8392103152382826"
"CO","Colombia","2024","63","474567","0.9570129536657164","215977","0.8922320491576371","258590","1.0187934072613547","0.8352101782744886"
"CO","Colombia","2024","64","459128","0.9258786291306242","208365","0.8607857823876202","250763","0.9879565767627483","0.8309240198912918"
"CO","Colombia","2024","65","441068","0.8894587896912979","199756","0.8252207652274685","241312","0.9507215077653891","0.8277914069752023"
"CO","Colombia","2024","66","421917","0.8508388370278128","190590","0.7873547009586855","231327","0.911382584483342","0.8238986369943846"
"CO","Colombia","2024","67","404561","0.8158386856818023","182427","0.7536321739429673","222134","0.8751639844100458","0.8212475352715027"
"CO","Colombia","2024","68","384508","0.7753997576487561","173213","0.7155678147707478","211295","0.8324604701933096","0.8197685700087556"
"CO","Colombia","2024","69","361643","0.7292901436520673","162980","0.6732938200443181","198663","0.7826928909345391","0.8203842688371765"
"CO","Colombia","2024","70","336262","0.6781067580036982","151751","0.6269052060715752","184511","0.7269368125882664","0.8224496100503493"
"CO","Colombia","2024","71","309170","0.6234729656398981","139835","0.5776784962933932","169335","0.6671463769619919","0.8257891162488559"
"CO","Colombia","2024","72","285810","0.5763651334525965","129612","0.5354458130051796","156198","0.6153891976774394","0.8297929550954558"
"CO","Colombia","2024","73","265056","0.5345125671334503","120318","0.49705096232723195","144738","0.570239066399296","0.831281349749202"
"CO","Colombia","2024","74","248102","0.5003230899543617","112404","0.46435709012309195","135698","0.5346232560367814","0.8283394007280873"
"CO","Colombia","2024","75","232879","0.46962435153880977","104958","0.43359659322746064","127921","0.5039834156397376","0.8204907716481266"
"CO","Colombia","2024","76","217255","0.43811695555874136","97213","0.40160088432917107","120042","0.4729417154355061","0.8098248946202162"
"CO","Colombia","2024","77","203473","0.4103241412091956","90319","0.3731207788230627","113154","0.44580435904424504","0.7981953797479541"
"CO","Colombia","2024","78","189201","0.3815431916810634","83153","0.3435170021974793","106048","0.417808125810171","0.7841071967410984"
"CO","Colombia","2024","79","173362","0.34960222618386005","75260","0.31090988401359293","98102","0.3865024588698457","0.767160710281136"
"CO","Colombia","2024","80","157115","0.3168384869053032","67242","0.27778637285200664","89873","0.3540818279546762","0.7481891113015032"
"CO","Colombia","2024","81","140834","0.2840061831449669","59246","0.24475374685449547","81588","0.3214405681257566","0.7261607099083198"
"CO","Colombia","2024","82","126908","0.255922978049061","52388","0.21642236252596478","74520","0.2935940473688702","0.7030059044551799"
"CO","Colombia","2024","83","113105","0.22808781504900436","45740","0.18895851839997","67365","0.2654047638352649","0.6789876048393082"
"CO","Colombia","2024","84","99579","0.2008112509152098","39405","0.16278772229013594","60174","0.23707364742853454","0.6548509322963406"
"CO","Colombia","2024","85","86228","0.17388759220233896","33302","0.137575351546913","52926","0.20851796230602287","0.6292181536484903"
"CO","Colombia","2024","86","73279","0.14777460765638997","27517","0.11367668453895878","45762","0.18029322055413632","0.6013067610681352"
"CO","Colombia","2024","87","62211","0.12545485223476954","22662","0.09361998128509226","39549","0.15581523053397003","0.5730106955928089"
"CO","Colombia","2024","88","51910","0.10468183085799758","18289","0.0755544893532368","33621","0.13246008409271048","0.5439754915082835"
"CO","Colombia","2024","89","42679","0.0860665740548734","14523","0.05999660172109235","28156","0.11092906599192041","0.5158048018184401"
"CO","Colombia","2024","90","34649","0.0698732567404885","11430","0.047218973880884495","23219","0.0914782633636312","0.4922692622421293"
"CO","Colombia","2024","91","27736","0.05593248431279948","8932","0.03689937661452847","18804","0.07408403739565533","0.4750053180174431"
"CO","Colombia","2024","92","22082","0.04453061431335586","6953","0.028723842991582673","15129","0.05960526493080565","0.45958093727278737"
"CO","Colombia","2024","93","17086","0.03445566869658537","5261","0.02173394764543599","11825","0.046588159019550324","0.4449048625792812"
"CO","Colombia","2024","94","12682","0.02557455170373965","3786","0.01564051050857644","8896","0.035048478870014346","0.4255845323741007"
"CO","Colombia","2024","95","8591","0.017324631263746042","2333","0.009637958535792086","6258","0.024655281111572593","0.37280281240012786"
"CO","Colombia","2024","96","5244","0.010575063013279509","1156","0.0047756022577692455","4088","0.016105910703756592","0.2827788649706458"
"CO","Colombia","2024","97","3179","0.006410779046379779","553","0.0022845225333446304","2626","0.010345920134066735","0.2105864432597106"
"CO","Colombia","2024","98","1862","0.0037549136786282308","248","0.0010245236677567239","1614","0.006358840478440103","0.1536555142503098"
"CO","Colombia","2024","99","1102","0.002222295850616708","124","0.0005122618338783619","978","0.003853126386564077","0.12678936605316973"
"CO","Colombia","2024","100+","1349","0.002720396644720453","120","0.0004957372585919633","1229","0.0048420166964082325","0.09764035801464606"
