"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"JP","Japan","2024","TOTAL","123201945","100","59875269","100","63326676","100","0.945498371018242"
"JP","Japan","2024","0","850040","0.6899566398890862","436735","0.7294079964801494","413305","0.6526554464977761","1.0566893698358355"
"JP","Japan","2024","1","861274","0.6990750024279243","442880","0.739670998388333","418394","0.6606915543774949","1.058523783801871"
"JP","Japan","2024","2","873165","0.7087266357686155","449364","0.7505001772935668","423801","0.6692298203051112","1.0603184041566678"
"JP","Japan","2024","3","885934","0.7190909201961057","456302","0.7620875991388031","429632","0.6784376302965909","1.0620763816475496"
"JP","Japan","2024","4","900335","0.7307798590355047","464080","0.7750779374369074","436255","0.6888960980677401","1.0637815039369176"
"JP","Japan","2024","5","938762","0.7619701133776744","484110","0.8085308142832728","454652","0.7179470465179635","1.064792412658473"
"JP","Japan","2024","6","984232","0.7988769982486883","507661","0.8478642492612434","476571","0.7525596322156558","1.065236869217808"
"JP","Japan","2024","7","1013766","0.8228490223916514","523029","0.8735309397941913","490737","0.7749293520474689","1.0658030676309307"
"JP","Japan","2024","8","1043978","0.8473713625219148","538733","0.8997587969082861","505245","0.7978391286477756","1.0662807152965392"
"JP","Japan","2024","9","1061174","0.8613289343768071","547754","0.9148251175289083","513420","0.8107483803508019","1.066873125316505"
"JP","Japan","2024","10","1077426","0.8745202845620659","556100","0.928764094571333","521326","0.823232850560481","1.0667029843130786"
"JP","Japan","2024","11","1097574","0.8908739224855581","566190","0.9456157933920931","531384","0.8391155727169385","1.0655006548936363"
"JP","Japan","2024","12","1104278","0.8963153950207523","569547","0.9512224487876623","534731","0.8444008651267279","1.065109372750037"
"JP","Japan","2024","13","1117288","0.9068752932431383","576116","0.9621935894768172","541172","0.8545719342666904","1.0645709681949547"
"JP","Japan","2024","14","1131359","0.9182963791683646","582595","0.9730144176888791","548764","0.8665605628819048","1.0616494522235425"
"JP","Japan","2024","15","1140170","0.9254480519767768","586884","0.9801776422916781","553286","0.873701313487542","1.060724471611427"
"JP","Japan","2024","16","1143564","0.9282028786152686","588482","0.9828465238293961","555082","0.8765374010788123","1.0601712900076026"
"JP","Japan","2024","17","1135508","0.9216640208074637","584081","0.9754962436995482","551427","0.870765741754707","1.0592172671994662"
"JP","Japan","2024","18","1105788","0.897541025021967","569265","0.9507514696927708","536523","0.8472306362645657","1.0610262747356591"
"JP","Japan","2024","19","1095954","0.8895590081796193","570256","0.9524065770794282","525698","0.8301367341623931","1.084759690925208"
"JP","Japan","2024","20","1125223","0.9133159383157465","586736","0.9799304617737918","538487","0.8503320149000083","1.0896010488646894"
"JP","Japan","2024","21","1145129","0.9294731507688454","596166","0.9956798690958699","548963","0.8668748064401802","1.0859857586030388"
"JP","Japan","2024","22","1162323","0.9434290992727428","604226","1.0091411864888657","558097","0.88129842785369","1.0826540905971542"
"JP","Japan","2024","23","1175656","0.9542511686808192","610006","1.0187945877955054","565650","0.8932254710479357","1.0784159816140724"
"JP","Japan","2024","24","1173755","0.9527081735600845","606732","1.0133265539065885","567023","0.8953935936887009","1.0700306689499368"
"JP","Japan","2024","25","1213367","0.9848602633667837","645186","1.0775500649525265","568181","0.8972222069574598","1.135528995161753"
"JP","Japan","2024","26","1223904","0.9934128880838691","651235","1.087652733551811","572669","0.9043092677089195","1.1371926889704174"
"JP","Japan","2024","27","1234205","1.001773957383546","656479","1.09641094055043","577726","0.9122948439611768","1.136315485195404"
"JP","Japan","2024","28","1253560","1.0174839366375263","672521","1.1232033045229408","581039","0.9175264465167886","1.1574455415213092"
"JP","Japan","2024","29","1269584","1.0304902248093568","678433","1.133077164129317","591151","0.9334944407945871","1.1476475553623355"
"JP","Japan","2024","30","1224475","0.9938763547929377","630919","1.0537221970560167","593556","0.937292208420982","1.062947725235698"
"JP","Japan","2024","31","1218315","0.98887643372838","628062","1.0489506109776308","590253","0.9320763969989518","1.0640555829449405"
"JP","Japan","2024","32","1244710","1.010300608484712","642667","1.0733429857325567","602043","0.9506941434917568","1.0674769077956225"
"JP","Japan","2024","33","1244736","1.0103217120476466","634326","1.059412359383304","610410","0.9639065849595516","1.0391802231287168"
"JP","Japan","2024","34","1254896","1.0185683351021773","629066","1.050627430166535","625830","0.9882565129425078","1.0051707332662225"
"JP","Japan","2024","35","1290262","1.0472740507465204","640624","1.0699308925025457","649638","1.0258520437737804","0.9861245801507916"
"JP","Japan","2024","36","1340729","1.0882368780785074","667536","1.1148776634306228","673193","1.063048058925436","0.9915967634838746"
"JP","Japan","2024","37","1379586","1.1197761528845993","686618","1.1467472488516084","692968","1.0942750255832154","0.9908365177035592"
"JP","Japan","2024","38","1412071","1.1461434314206647","700650","1.1701826341690422","711421","1.1234144043814964","0.984859879030841"
"JP","Japan","2024","39","1474404","1.1967376002059058","722865","1.207284763931499","751539","1.186765274084495","0.9618462914100266"
"JP","Japan","2024","40","1510444","1.2259903851355594","740957","1.2375009121044616","769487","1.2151072006369006","0.9629233502320377"
"JP","Japan","2024","41","1516230","1.2306867395640548","743072","1.2410332553161474","773158","1.2209041257747366","0.9610868671086634"
"JP","Japan","2024","42","1517885","1.2320300625124059","744352","1.2431710327681367","773533","1.2214962932840498","0.9622756883028908"
"JP","Japan","2024","43","1548641","1.2569939541133055","762256","1.2730731948778384","786385","1.2417910581632297","0.9693165561398043"
