"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"KE","Kenya","2024","TOTAL","58246378","100","29091800","100","29154578","100","0.9978467189612554"
"KE","Kenya","2024","0","1453654","2.4956985308168003","732115","2.5165682425975704","721539","2.474873757390692","1.014657558357899"
"KE","Kenya","2024","1","1435634","2.464760984794625","722564","2.4837376855333804","713070","2.445825146225749","1.013314260872004"
"KE","Kenya","2024","2","1419844","2.4376520030138185","714399","2.4556713575646745","705445","2.419671449197447","1.01269269751717"
"KE","Kenya","2024","3","1404939","2.4120624290148998","706644","2.429014361435181","698295","2.3951469988692686","1.0119562649023695"
"KE","Kenya","2024","4","1393223","2.391947873565632","700516","2.40795000653105","692707","2.375980197689708","1.0112731645558657"
"KE","Kenya","2024","5","1384670","2.377263698697282","695988","2.3923854831945772","688682","2.362174475651817","1.0106086698940875"
"KE","Kenya","2024","6","1376531","2.363290297638765","691656","2.3774946892251423","684875","2.349116492099457","1.0099010768388392"
"KE","Kenya","2024","7","1368624","2.349715204608946","687404","2.362878886834091","681220","2.336579867491136","1.0090778309503539"
"KE","Kenya","2024","8","1356802","2.329418663594842","680741","2.339975525749524","676061","2.318884533331266","1.0069224522639229"
"KE","Kenya","2024","9","1357341","2.3303440430235853","680879","2.3404498862222347","676462","2.320259960545476","1.0065295611579068"
"KE","Kenya","2024","10","1365908","2.345052253721253","685148","2.3551241243236922","680760","2.335002070686806","1.0064457371173394"
"KE","Kenya","2024","11","1371403","2.3544863167285697","687632","2.3636626128324822","683771","2.345329779769064","1.0056466273065106"
"KE","Kenya","2024","12","1375108","2.3608472272730845","689368","2.369629930083391","685740","2.3520834360902088","1.0052906349345232"
"KE","Kenya","2024","13","1383837","2.3758335668528607","694615","2.3876659402305807","689222","2.364026671900379","1.0078247647347298"
"KE","Kenya","2024","14","1383863","2.375878204821594","694715","2.388009679703559","689148","2.3637728524144648","1.0080780906278477"
"KE","Kenya","2024","15","1381850","2.3724221959346554","693719","2.384586034552692","688131","2.3602845494796734","1.0081205468144874"
"KE","Kenya","2024","16","1378170","2.366104206513923","692031","2.3787837122488122","686139","2.3534520033183126","1.0085871813145733"
"KE","Kenya","2024","17","1363975","2.341733592430417","684615","2.3532919929327165","679360","2.330200080412757","1.0077352213848327"
"KE","Kenya","2024","18","1337360","2.296039764051938","670996","2.3064781141077555","666364","2.285623890697372","1.0069511558247444"
"KE","Kenya","2024","19","1298835","2.2298983123036424","651400","2.2391189269828615","647435","2.220697552199178","1.0061241669047858"
"KE","Kenya","2024","20","1252083","2.1496323771411157","627612","2.1573501811507025","624471","2.141931191732564","1.0050298572711944"
"KE","Kenya","2024","21","1203257","2.0658057055496224","602778","2.0719859204311866","600479","2.0596387984075775","1.003828610159556"
"KE","Kenya","2024","22","1154262","1.9816888871613612","577858","1.9863260437649097","576404","1.9770617156592012","1.0025225362766392"
"KE","Kenya","2024","23","1107664","1.901687346121333","554839","1.9072006544799565","552825","1.896185909465059","1.0036431058653281"
"KE","Kenya","2024","24","1058696","1.817616882546757","529723","1.8208670484466414","528973","1.8143737151674773","1.0014178417423951"
"KE","Kenya","2024","25","1011267","1.7361886433522096","505420","1.7373280443286423","505847","1.7350516958262951","0.9991558712416996"
"KE","Kenya","2024","26","967619","1.6612517949184755","483512","1.662021600588482","484107","1.6604836468564217","0.9987709328722782"
"KE","Kenya","2024","27","926045","1.5898756829137086","462608","1.5901663011570268","463437","1.5895856904531425","0.9982111915967004"
"KE","Kenya","2024","28","882309","1.5147877521242608","439374","1.5103018720051697","442935","1.5192639728827495","0.991960445663585"
"KE","Kenya","2024","29","843193","1.4476316450097548","419314","1.4413477337256546","423879","1.453902025266838","0.989230417170938"
"KE","Kenya","2024","30","806912","1.3853427933321452","400746","1.3775221883829807","406166","1.3931465583209608","0.9866557023483009"
"KE","Kenya","2024","31","781287","1.3413486414554394","386830","1.3296874033232733","394457","1.3529847696646475","0.9806645591281179"
"KE","Kenya","2024","32","782096","1.34273756902103","388308","1.3347678727338976","393788","1.3506901043122628","0.9860838826983047"
"KE","Kenya","2024","33","776443","1.3330322445114098","385984","1.326779367381874","390459","1.339271657439185","0.98853912958851"
"KE","Kenya","2024","34","769376","1.3208993012406711","382461","1.3146694257488365","386915","1.3271157620597356","0.9884884276908364"
"KE","Kenya","2024","35","764142","1.3119133347656398","379875","1.3057803229776088","384267","1.3180331404556773","0.9885704471109932"
"KE","Kenya","2024","36","760344","1.3053927576406554","378081","1.299613636832372","382263","1.3111594343776818","0.9890598880875209"
"KE","Kenya","2024","37","751890","1.290878550422483","373714","1.2846025340473948","378176","1.2971410527705116","0.9882012607886275"
"KE","Kenya","2024","38","742175","1.2741994017207388","368557","1.2668758894258865","373618","1.2815071444354298","0.9864540787649417"
"KE","Kenya","2024","39","733139","1.2586859907409178","364303","1.252253212245375","368836","1.2651049176565","0.9877099849255496"
"KE","Kenya","2024","40","721544","1.2387791735307558","358822","1.2334128517314156","362722","1.2441339401311176","0.9892479640054919"
"KE","Kenya","2024","41","706649","1.2132067679813499","351641","1.2087289201768194","355008","1.2176749737211083","0.9905157066883"
"KE","Kenya","2024","42","686952","1.1793900729758682","341864","1.175121511903698","345088","1.1836494426364188","0.9906574554896143"
"KE","Kenya","2024","43","666373","1.144059120723352","331944","1.1410225561842169","334429","1.1470891466856423","0.9925694243023183"
"KE","Kenya","2024","44","645599","1.1083933837053352","322074","1.1070954702012252","323525","1.1096885024369072","0.9955150297504057"
"KE","Kenya","2024","45","613192","1.0527555893690077","308321","1.0598209804824728","304871","1.0457054120282585","1.0113162616319689"
"KE","Kenya","2024","46","576351","0.9895053045186776","290933","1.0000515609209468","285418","0.9789817571703491","1.0193225374713577"
"KE","Kenya","2024","47","534733","0.918053651336054","269439","0.9261681985989179","265294","0.9099565769739489","1.0156241754430932"
"KE","Kenya","2024","48","497017","0.8533011271533485","250345","0.8605345836283763","246672","0.8460832463429928","1.0148902185898683"
"KE","Kenya","2024","49","464545","0.7975517378951873","234497","0.8060587519507214","230048","0.789063041831715","1.0193394422033664"
"KE","Kenya","2024","50","434946","0.7467348441820709","220051","0.7564021476842272","214895","0.7370883571012415","1.02399311291561"
"KE","Kenya","2024","51","407761","0.7000624141813591","206697","0.7104991784626596","201064","0.6896481231866913","1.0280159551187682"
"KE","Kenya","2024","52","382720","0.6570708997562046","194339","0.6680198543919592","188381","0.6461455212968612","1.0316273934207802"
"KE","Kenya","2024","53","360516","0.6189500744578487","183277","0.6299953938910621","177239","0.6079285387015377","1.0340669942845537"
"KE","Kenya","2024","54","341092","0.5856020781240681","173444","0.5961954915130724","167648","0.5750314753312499","1.0345724374880703"
"KE","Kenya","2024","55","325124","0.5581874979419321","165248","0.5680226043077431","159876","0.5483735693241727","1.0336010408066252"
"KE","Kenya","2024","56","310647","0.5333327335821637","157656","0.5419259035192048","152991","0.5247580671550108","1.0304919897248859"
"KE","Kenya","2024","57","295719","0.5077036721493652","149733","0.5146914250751071","145986","0.5007309658195018","1.0256668447659365"
"KE","Kenya","2024","58","279832","0.48042815640828346","141150","0.4851882661093504","138682","0.47567829656117816","1.0177961090840917"
"KE","Kenya","2024","59","263682","0.45270111044501343","132265","0.45464701393519824","131417","0.4507593970319173","1.0064527420348965"
